,paper_name,available_link,year,pdf_availability
0,"Rodrigo Silva, Chanchal Roy, Masud Rahman, Kevin Schneider, Klerisson Paixao, Carlos Dantas, Marcelo Maia. CROKAGE: Effective Solution Recommendations for Programming Tasks by Leveraging Crowd Knowledge, Empirical Software Engineering, 25, 4707–4758. ",https://link.springer.com/epdf/10.1007/s10664-020-09863-2?sharing_token=awi5EkMEXP-2O-O6BG0CB_e4RwlQNchNByi7wbcMAY7vnnGFx2oleCeEhxe_sXNvomG1VzarYXSIBc9U7Mskt3n1DO1WF_NhbMzO7R9mC_2Vzv6KU-b3dSGFEX2a-BEUCJ1L8Q6QcvYKSS_dcquLmLVOMvEw9ojujzIlqJSLskE%3D,2020,No
1,"Rodrigo Silva, Chanchal Roy, Masud Rahman, Kevin Schneider, Klerisson Paixao, Carlos Dantas, Marcelo Maia. CROKAGE: Effective Solution Recommendations for Programming Tasks by Leveraging Crowd Knowledge, Empirical Software Engineering, 25, 4707–4758. ",https://doi.org/10.1007/s10664-020-09863-2,2020,No
2,"Preetha Chatterjee, Minji Kong, Lori Pollock. Finding help with programming errors: An exploratory study of novice software engineers’ focus in stack overflow posts, Journal of Systems and Software, Volume 159, 2020. DOI ",https://doi.org/10.1016/j.jss.2019.110454,2020,No
3,"Saikat Mondal, Gias Uddin, and Chanchal K. Roy. Automatic Identification of Rollback Edit with Reasons in Stack Overflow Q&A Site. 36th International Conference on Software Maintenance and Evolution (ICSME-RR) 2020. ",https://osf.io/sjgnz/,2020,No
4,"Timur Bachschi, Aniko Hannak, Florian Lemmerich, and Johannes Wachs. From Asking to Answering: Getting More Involved on Stack Overflow. arXiv preprint: 2010. 04025, 2020. ",https://arxiv.org/pdf/2010.04025.pdf,2020,Yes
5,"Sebastian Baltes, Christoph Treude, and Martin Robillard. Contextual Documentation Referencing on Stack Overflow. IEEE Transactions on Software Engineering (TSE). ",http://empirical-software.engineering/assets/pdf/tse19-condor.pdf,2020,Yes
6,Sebastian Baltes and Christoph Treude. Code Duplication on Stack Overflow. Proceedings of the 42nd International Conference on Software Engineering (ICSE-NIER 2020). ,http://empirical-software.engineering/assets/pdf/icse20-clones.pdf,2020,Yes
7,Sebastian Baltes and Markus Wagner. An Annotated Dataset of Stack Overflow Post Edits. Genetic and Evolutionary Computation Conference Companion Proceedings (GECCO 2020 Companion) - 9th Genetic Improvement Workshop. ,http://empirical-software.engineering/assets/pdf/geccogi20-soedits.pdf,2020,Yes
8,"Zhou, J. , Wang, S. , Bezemer, C. P. , & Hassan, A. E. Bounties on technical Q&A sites: a case study of Stack Overflow bounties. Empirical Software Engineering, 25(1), 139-177. ",https://doi.org/10.1007/s10664-019-09744-3,2020,No
9,"Sengupta, S. , & Haythornthwaite, C. Learning with comments: An analysis of comments and community on Stack Overflow. In Proceedings of the 53rd Hawaii International Conference on System Sciences. ",https://scholarspace.manoa.hawaii.edu/bitstream/10125/64096/0285.pdf,2020,Yes
10,"Blanco, Guillermo, et al. Understanding the social evolution of the Java community in Stack Overflow: A 10-year study of developer interactions. Future Generation Computer Systems 105 (2020): 446-454. ",https://repositorium.sdum.uminho.pt/bitstream/1822/63736/1/document_52348_1.pdf,2020,Yes
