,paper_name,available_link,year,pdf_availability,Unnamed: 0
1,"Rodrigo Silva, Chanchal Roy, Masud Rahman, Kevin Schneider, Klerisson Paixao, Carlos Dantas, Marcelo Maia. CROKAGE: Effective Solution Recommendations for Programming Tasks by Leveraging Crowd Knowledge, Empirical Software Engineering, 25, 4707–4758. ",https://doi.org/10.1007/s10664-020-09863-2,2020,No,1.0
2,"Preetha Chatterjee, Minji Kong, Lori Pollock. Finding help with programming errors: An exploratory study of novice software engineers’ focus in stack overflow posts, Journal of Systems and Software, Volume 159, 2020. DOI ",https://doi.org/10.1016/j.jss.2019.110454,2020,No,2.0
3,"Saikat Mondal, Gias Uddin, and Chanchal K. Roy. Automatic Identification of Rollback Edit with Reasons in Stack Overflow Q&A Site. 36th International Conference on Software Maintenance and Evolution (ICSME-RR) 2020. ",https://osf.io/sjgnz/,2020,No,3.0
4,"Timur Bachschi, Aniko Hannak, Florian Lemmerich, and Johannes Wachs. From Asking to Answering: Getting More Involved on Stack Overflow. arXiv preprint: 2010. 04025, 2020. ",https://arxiv.org/pdf/2010.04025.pdf,2020,Yes,4.0
5,"Sebastian Baltes, Christoph Treude, and Martin Robillard. Contextual Documentation Referencing on Stack Overflow. IEEE Transactions on Software Engineering (TSE). ",http://empirical-software.engineering/assets/pdf/tse19-condor.pdf,2020,Yes,5.0
6,Sebastian Baltes and Christoph Treude. Code Duplication on Stack Overflow. Proceedings of the 42nd International Conference on Software Engineering (ICSE-NIER 2020). ,http://empirical-software.engineering/assets/pdf/icse20-clones.pdf,2020,Yes,6.0
7,Sebastian Baltes and Markus Wagner. An Annotated Dataset of Stack Overflow Post Edits. Genetic and Evolutionary Computation Conference Companion Proceedings (GECCO 2020 Companion) - 9th Genetic Improvement Workshop. ,http://empirical-software.engineering/assets/pdf/geccogi20-soedits.pdf,2020,Yes,7.0
8,"Zhou, J. , Wang, S. , Bezemer, C. P. , & Hassan, A. E. Bounties on technical Q&A sites: a case study of Stack Overflow bounties. Empirical Software Engineering, 25(1), 139-177. ",https://doi.org/10.1007/s10664-019-09744-3,2020,No,8.0
9,"Sengupta, S. , & Haythornthwaite, C. Learning with comments: An analysis of comments and community on Stack Overflow. In Proceedings of the 53rd Hawaii International Conference on System Sciences. ",https://scholarspace.manoa.hawaii.edu/bitstream/10125/64096/0285.pdf,2020,Yes,9.0
10,"Blanco, Guillermo, et al. Understanding the social evolution of the Java community in Stack Overflow: A 10-year study of developer interactions. Future Generation Computer Systems 105 (2020): 446-454. ",https://repositorium.sdum.uminho.pt/bitstream/1822/63736/1/document_52348_1.pdf,2020,Yes,10.0
11,"Preetha Chatterjee, Kostadin Damevski, Lori Pollock, Vinay Augustine, and Nicholas A. Kraft. Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools, The 16th International Conference on Mining Software Repositories (MSR). PDF ",https://cpb-us-w2.wpmucdn.com/sites.udel.edu/dist/8/2570/files/2019/03/PID5819473-1jstqpt.pdf,2019,Yes,11.0
12,"László Tóth, Balázs Nagy, Dávid Janthó, László Vidács, Tibor Gyimóthy. Towards an Accurate Prediction of the Question Quality at Stack Overflow Using a Deep-Learning-Based NLP Approach. 14th International Conference on Software Technologies (ICSOFT)  ",http://dx.doi.org/10.5220/0007971306310639,2019,No,12.0
13,"Suyu Ma, Zhenchang Xing, Chunyang Chen, Cheng Chen, Lizhen Qu, Guoqiang Li. Easy-to-Deploy API Extraction by Multi-Level Feature Embedding and Transfer Learning. IEEE Transactions on Software Engineering (TSE)  ",https://chunyang-chen.github.io/publication/API_NER_TSE2019.pdf,2019,Yes,13.0
14,"Xiang Chen, Chunyang Chen, Dun Zhang, Zhenchang Xing. SEthesaurus: WordNet in Software Engineering. IEEE Transactions on Software Engineering (TSE)  ",https://chunyang-chen.github.io/publication/SEthesaurusWordnet_TSE19.pdf,2019,Yes,14.0
16,"Md Ahasanuzzaman, Muhammad Asaduzzaman, Chanchal K. Roy, Kevin A. Schneider. CAPS: a supervised technique for classifying Stack Overflow posts concerning API issues. Empirical Software Engineering (ESE), 2019. ",https://link.springer.com/article/10.1007/s10664-019-09743-4,2019,No,16.0
17,"S. Mondal, M. M. Rahman, C. K. Roy Can Issues Reported at Stack Overflow Questions be Reproduced? An Exploratory Study Proceedings of the 16th International Conference on Mining Software Repositories (MSR 2019). ",http://homepage.usask.ca/%7Emasud.rahman/papers/saikat-MSR2019-pp.pdf,2019,Yes,17.0
18,"L. Souza, E. Campos, F. Madeiral, K. Paixão, A. Rocha, M. A. Maia Bootstrapping Cookbooks for APIs from Crowd Knowledge on Stack Overflow Information and Software Technology, v. 111, 2019. 14 ",https://arxiv.org/pdf/1903.09174,2019,No,18.0
